organism,module,peak_phase,in_prev_top10,panel,vector,vector_main_phase,projection,cosine,abs_CAP,proj_rank,is_best_driver
Ca_Bealeia,M2,II,False,environment,Acetate,I,0.3395,0.9109,0.3727,32,False
Chryseobacterium,M2,I,False,environment,Acetate,I,0.3135,0.7253,0.4322,33,False
Runella,M2,III,False,environment,Acetate,I,0.3039,0.9584,0.3171,34,False
Ca_Competibacter,M3,II,True,environment,Acetate,I,0.2898,0.9985,0.2903,35,True
Azospira,M3,II,True,environment,Acetate,I,0.2896,0.9994,0.2898,36,True
Phycisphaeraceae,M2,I,False,environment,Acetate,I,0.2888,0.9107,0.3171,37,False
Microscillaceae,M3,III,False,environment,Acetate,I,0.2876,0.9906,0.2903,38,True
Chthoniobacteraceae,M3,III,False,environment,Acetate,I,0.2855,0.9973,0.2862,39,True
Bryobacter,M3,III,False,environment,Acetate,I,0.2846,0.9863,0.2885,40,True
Brevundimonas,M2,I,False,environment,Acetate,I,0.2787,0.7616,0.366,41,False
Puniceicoccaceae,M2,II,False,environment,Acetate,I,0.2771,0.8697,0.3187,42,False
Parcubacteria,M3,II,False,environment,Acetate,I,0.268,0.9994,0.2682,43,True
Bacteria,M2,I,False,environment,Acetate,I,0.2538,0.7885,0.3219,44,False
Desulfuromonadia,M3,II,False,environment,Acetate,I,0.2451,0.9961,0.246,45,True
Fusibacter,M2,II,False,environment,Acetate,I,0.244,0.9545,0.2556,46,False
Aquimonas,M3,III,False,environment,Acetate,I,0.2279,0.9815,0.2322,47,True
Leptonema,M3,II,False,environment,Acetate,I,0.2029,0.9865,0.2056,48,True
Denitratisoma,M3,III,True,environment,Acetate,I,0.1951,0.7471,0.2612,49,False
Cephaloticoccus,M3,III,False,environment,Acetate,I,0.1947,0.8644,0.2253,50,False
Ca_Flexifilum,M3,III,False,environment,Acetate,I,0.1797,0.9522,0.1887,51,False
Blastopirellula,M3,III,False,environment,Acetate,I,0.1565,0.9392,0.1666,52,False
Bdellovibrio,M3,II,False,environment,Acetate,I,0.1558,0.9955,0.1565,53,True
Elusimicrobia,M3,III,False,environment,Acetate,I,0.122,0.8103,0.1505,54,False
Luteimonas,M3,I,False,environment,Acetate,I,0.1093,0.6424,0.1702,55,False
Denitromonas,M3,I,False,environment,Acetate,I,0.1082,0.788,0.1373,56,False
Sandaracinaceae,M3,III,False,environment,Acetate,I,0.1072,0.8308,0.1291,57,False
Dokdonella,M3,IV,True,environment,Acetate,I,0.1055,0.9732,0.1084,58,True
Hydrogenophaga,M3,III,True,environment,Acetate,I,0.1053,0.9998,0.1053,59,True
Oligoflexia,M3,II,False,environment,Acetate,I,0.0989,0.9371,0.1055,60,False
Thermomonas,M3,III,False,environment,Acetate,I,0.0927,0.7852,0.1181,61,False
Sulfuritalea,M5,III,False,environment,Acetate,I,0.0898,0.4886,0.1839,62,False
Holophagaceae,M2,I,False,environment,Acetate,I,0.0728,0.2483,0.2931,63,False
Ignavibacterium,M5,III,False,environment,Acetate,I,0.0696,0.3937,0.1769,64,False
Hydrogenedensaceae,M5,IV,False,environment,Acetate,I,0.0573,0.5712,0.1003,65,False
Pedomicrobium,M5,IV,False,environment,Acetate,I,0.0356,0.1976,0.1804,66,False
Planococcus,M4,II,False,environment,Acetate,I,0.032,0.717,0.0446,67,False
Ca_Nomurabacteria,M5,III,False,environment,Acetate,I,0.0304,0.3226,0.0943,68,False
Dechlorobacter,M4,I,False,environment,Acetate,I,0.0289,0.7264,0.0398,69,False
Turneriella,M5,IV,False,environment,Acetate,I,0.0227,0.2641,0.0858,70,False
Rhodanobacteraceae,M5,III,False,environment,Acetate,I,0.0198,0.1004,0.1968,71,False
Sericytochromatia,M4,III,False,environment,Acetate,I,0.0197,0.5175,0.0381,72,False
Vicingus,M5,III,False,environment,Acetate,I,0.0196,0.1321,0.1486,73,False
Neochlamydia,M4,III,False,environment,Acetate,I,0.0195,0.624,0.0312,74,False
Ca_Methanofastidiosum,M4,III,False,environment,Acetate,I,0.0164,0.4,0.0411,75,False
Ca_Magasanikbacteria,M4,III,False,environment,Acetate,I,0.0113,0.2134,0.053,76,False
Smithella,M4,III,False,environment,Acetate,I,0.0083,0.2602,0.0319,77,False
Pseudomonas,M4,III,False,environment,Acetate,I,0.0079,0.3101,0.0254,78,False
Caldisericales,M4,III,False,environment,Acetate,I,0.0074,0.1754,0.0423,79,False
Spirochaetaceae,M5,III,False,environment,Acetate,I,0.0055,0.0648,0.0844,80,False
Acidaminobacter,M4,III,False,environment,Acetate,I,0.0051,0.6084,0.0083,81,False
Beijerinckiaceae,M4,II,False,environment,Acetate,I,0.0042,0.2781,0.015,82,False
Caldilineaceae,M5,II,False,environment,Acetate,I,0.004,0.0433,0.0917,83,False
Amaricoccus,M4,III,False,environment,Acetate,I,0.003,0.0575,0.0517,84,False
Kiritimatiellae,M5,III,False,environment,Acetate,I,-0.0013,-0.0094,0.1369,85,False
Methanothrix,M4,III,False,environment,Acetate,I,-0.0019,-0.0304,0.062,86,False
Ochrobactrum,M4,III,False,environment,Acetate,I,-0.0104,-0.2066,0.0505,87,False
Ca_Epiflobacter,M5,III,False,environment,Acetate,I,-0.0161,-0.1491,0.1078,88,False
Williamwhitmaniaceae,M5,III,False,environment,Acetate,I,-0.0181,-0.1923,0.0939,89,False
Acidovorax,M5,III,False,environment,Acetate,I,-0.0186,-0.1978,0.0941,90,False
Fungi,M5,III,False,environment,Acetate,I,-0.0243,-0.2233,0.1089,91,False
Prolixibacteraceae,M5,III,False,environment,Acetate,I,-0.0247,-0.2772,0.0892,92,False
Beggiatoa,M4,III,False,environment,Acetate,I,-0.0277,-0.5179,0.0535,93,False
Aeromonas,M4,III,True,environment,Acetate,I,-0.0288,-0.3912,0.0736,94,False
Rheinheimera,M4,III,False,environment,Acetate,I,-0.0353,-0.6569,0.0537,95,False
Christensenellaceae,M5,III,False,environment,Acetate,I,-0.0441,-0.4712,0.0935,96,False
Melioribacteraceae,M5,IV,False,environment,Acetate,I,-0.0443,-0.394,0.1124,97,False
Bradymonadales,M5,III,False,environment,Acetate,I,-0.0444,-0.36,0.1233,98,False
Lentimicrobiaceae,M5,IV,False,environment,Acetate,I,-0.049,-0.283,0.1733,99,False
Pirellula,M4,V,False,environment,Acetate,I,-0.0501,-0.8144,0.0616,100,False
Patescibacteria,M5,III,False,environment,Acetate,I,-0.0524,-0.3436,0.1524,101,False
Sporomusaceae,M5,III,False,environment,Acetate,I,-0.0548,-0.5948,0.0921,102,False
Kryptoniales,M5,III,False,environment,Acetate,I,-0.0578,-0.5151,0.1121,103,False
Chitinophagales,M5,III,False,environment,Acetate,I,-0.0635,-0.4995,0.1272,104,False
Longilinea,M5,IV,False,environment,Acetate,I,-0.0652,-0.3685,0.1769,105,False
Anaerolinea,M5,IV,False,environment,Acetate,I,-0.0723,-0.2573,0.2809,106,False
Ca_Parvibacillus,M5,IV,False,environment,Acetate,I,-0.0786,-0.34,0.2312,107,False
Flavobacteriales,M5,IV,False,environment,Acetate,I,-0.0848,-0.3614,0.2346,108,False
Bacillales,M5,III,False,environment,Acetate,I,-0.0911,-0.854,0.1067,109,False
Ca_Gottesmanbacteria,M5,IV,False,environment,Acetate,I,-0.0958,-0.4929,0.1943,110,False
Azonexus,M5,III,False,environment,Acetate,I,-0.0987,-0.4487,0.2199,111,False
Clostridiaceae,M5,IV,False,environment,Acetate,I,-0.099,-0.5455,0.1815,112,False
Devosia,M6,V,False,environment,Acetate,I,-0.1018,-0.9489,0.1073,113,False
Leifsonia,M6,V,False,environment,Acetate,I,-0.1075,-0.9863,0.109,114,False
Rhodobacter,M6,III,False,environment,Acetate,I,-0.1109,-0.691,0.1604,115,False
Microbacterium,M6,V,False,environment,Acetate,I,-0.1438,-0.9998,0.1438,116,False
Hoeflea,M6,IV,False,environment,Acetate,I,-0.1491,-0.6998,0.2131,117,False
Chlorobium,M6,IV,False,environment,Acetate,I,-0.1508,-0.8333,0.181,118,False
Exiguobacterium,M6,V,False,environment,Acetate,I,-0.1533,-0.9977,0.1537,119,False
Sphingobacteriales,M7,IV,False,environment,Acetate,I,-0.1544,-0.5346,0.2889,120,False
Ignavibacteriales,M7,IV,False,environment,Acetate,I,-0.1563,-0.6195,0.2523,121,False
Polyangia,M6,V,False,environment,Acetate,I,-0.1576,-0.9424,0.1673,122,False
Leptolinea,M7,IV,False,environment,Acetate,I,-0.1612,-0.5594,0.2882,123,False
Ca_Falkowbacteria,M7,III,False,environment,Acetate,I,-0.163,-0.5404,0.3016,124,False
Prosthecobacter,M7,IV,False,environment,Acetate,I,-0.1663,-0.5959,0.279,125,False
Fimbriimonadaceae,M7,IV,False,environment,Acetate,I,-0.1668,-0.6467,0.258,126,False
Spirochaetota,M6,V,False,environment,Acetate,I,-0.1669,-0.9656,0.1729,127,False
Myxococcaceae,M6,V,False,environment,Acetate,I,-0.1731,-0.994,0.1742,128,False
Lysobacter,M7,IV,True,environment,Acetate,I,-0.1739,-0.5018,0.3466,129,False
Solirubrobacterales,M6,IV,False,environment,Acetate,I,-0.175,-0.7819,0.2237,130,False
Ca_Pacebacteria,M7,IV,False,environment,Acetate,I,-0.1776,-0.5536,0.3209,131,False
Devosiaceae,M6,V,False,environment,Acetate,I,-0.1907,-0.9958,0.1915,132,False
Rurimicrobium,M6,IV,False,environment,Acetate,I,-0.1914,-0.818,0.234,133,False
Hyphomicrobium,M6,V,False,environment,Acetate,I,-0.1947,-0.9966,0.1954,134,False
Victivallales,M6,V,False,environment,Acetate,I,-0.2088,-0.9553,0.2185,135,False
Desulfobulbus,M6,V,False,environment,Acetate,I,-0.2144,-0.9425,0.2275,136,False
Holophagae,M6,V,True,environment,Acetate,I,-0.2234,-0.9999,0.2235,137,False
Rhodocyclaceae,M6,V,False,environment,Acetate,I,-0.2386,-0.8847,0.2697,138,False
Ignavibacteria,M7,IV,True,environment,Acetate,I,-0.245,-0.5451,0.4495,139,False
Bacteroidales,M6,V,False,environment,Acetate,I,-0.2461,-0.853,0.2885,140,False
Saprospiraceae,M7,IV,False,environment,Acetate,I,-0.2617,-0.6493,0.403,141,False
Thermomicrobiales,M7,IV,False,environment,Acetate,I,-0.2672,-0.7115,0.3755,142,False
Flexifilaceae,M7,IV,False,environment,Acetate,I,-0.2725,-0.6528,0.4174,143,False
Azoarcus,M8,V,False,environment,Acetate,I,-0.2729,-0.9994,0.2731,144,False
Herpetosiphon,M8,V,False,environment,Acetate,I,-0.2795,-0.9974,0.2802,145,False
Lacihabitans,M8,V,False,environment,Acetate,I,-0.2931,-0.9966,0.2941,146,False
Paracoccus,M9,V,False,environment,Acetate,I,-0.2977,-0.8922,0.3337,147,False
Bacteroidia,M8,V,False,environment,Acetate,I,-0.3,-0.9985,0.3004,148,False
Rhodospirillales,M8,V,False,environment,Acetate,I,-0.3091,-0.9947,0.3108,149,False
Terrimonas,M9,V,False,environment,Acetate,I,-0.3196,-0.8409,0.38,150,False
Microtrichaceae,M8,V,False,environment,Acetate,I,-0.3372,-0.9881,0.3412,151,False
Micavibrionales,M9,V,False,environment,Acetate,I,-0.3387,-0.9351,0.3622,152,False
Gracilibacteria,M9,V,False,environment,Acetate,I,-0.3417,-0.8127,0.4204,153,False
Xanthobacter,M9,V,False,environment,Acetate,I,-0.3624,-0.9057,0.4001,154,False
Ca_Caldilinea,M9,IV,True,environment,Acetate,I,-0.3697,-0.8407,0.4397,155,False
Edaphobaculum,M8,V,False,environment,Acetate,I,-0.3718,-1.0,0.3718,156,False
Novosphingobium,M8,V,False,environment,Acetate,I,-0.3771,-0.9963,0.3786,157,False
Phaeodactylibacter,M9,V,False,environment,Acetate,I,-0.3833,-0.8823,0.4344,158,False
Millisia,M9,V,False,environment,Acetate,I,-0.3927,-0.9649,0.407,159,False
Anaerolineaceae,M9,IV,False,environment,Acetate,I,-0.3979,-0.8205,0.4849,160,False
Phreatobacter,M9,V,False,environment,Acetate,I,-0.4019,-0.9355,0.4296,161,False
Mesorhizobium,M9,V,False,environment,Acetate,I,-0.4067,-0.9619,0.4228,162,False
Rhizobiales,M8,V,True,environment,Acetate,I,-0.4083,-0.9859,0.4141,163,False
Terrimicrobium,M9,IV,False,environment,Acetate,I,-0.4097,-0.8954,0.4576,164,False
Pleomorphomonadaceae,M8,V,False,environment,Acetate,I,-0.4099,-0.9855,0.416,165,False
Rhodothermaceae,M9,V,True,environment,Acetate,I,-0.4127,-0.9545,0.4324,166,False
Hungateiclostridiaceae,M8,V,False,environment,Acetate,I,-0.4152,-0.9934,0.4179,167,False
Ca_Accumulibacter,M9,V,True,environment,Acetate,I,-0.4153,-0.8188,0.5073,168,False
Anaerolineae,M9,V,False,environment,Acetate,I,-0.4154,-0.9179,0.4526,169,False
Ca_Leptovillus,M9,IV,True,environment,Acetate,I,-0.4201,-0.7814,0.5377,170,False
Pirellulaceae,M9,V,False,environment,Acetate,I,-0.4208,-0.9255,0.4546,171,False
Defluviimonas,M8,V,False,environment,Acetate,I,-0.4307,-0.9927,0.4339,172,False
Persicitalea,M9,V,False,environment,Acetate,I,-0.4478,-0.9681,0.4625,173,False
Ca_Villigracilis,M9,IV,False,environment,Acetate,I,-0.4497,-0.8287,0.5427,174,False
alphaI_cluster,M9,V,True,environment,Acetate,I,-0.4599,-0.9848,0.467,175,False
Ca_Sarcinithrix,M9,V,True,environment,Acetate,I,-0.4861,-0.9564,0.5082,176,False
Rhodoplanes,M9,V,True,environment,Acetate,I,-0.5021,-0.9581,0.524,177,False
Rhodobacteraceae,M9,V,False,environment,Acetate,I,-0.5055,-0.9276,0.545,178,False
Leadbetterella,M9,V,False,environment,Acetate,I,-0.5073,-0.9718,0.5221,179,False
Arenimonas,M2,II,False,environment,C/N,II,0.3381,0.6067,0.5573,1,False
Defluviicoccus,M2,II,False,environment,C/N,II,0.2876,0.6146,0.4679,2,False
Planctomycetota,M2,II,False,environment,C/N,II,0.275,0.5293,0.5195,3,False
Bryobacter,M3,III,False,environment,C/N,II,0.2676,0.9273,0.2885,4,False
Microscillaceae,M3,III,False,environment,C/N,II,0.266,0.9162,0.2903,5,False
Denitratisoma,M3,III,True,environment,C/N,II,0.2571,0.9843,0.2612,6,True
Aurantisolimonas,M2,II,False,environment,C/N,II,0.256,0.5248,0.4878,7,False
Taibaiella,M1,I,False,environment,C/N,II,0.2557,0.4456,0.5738,8,False
Chthoniobacteraceae,M3,III,False,environment,C/N,II,0.2543,0.8886,0.2862,9,False
Azospira,M3,II,True,environment,C/N,II,0.2523,0.8705,0.2898,10,False
Chitinophagaceae,M2,I,False,environment,C/N,II,0.2521,0.4727,0.5332,11,False
Chelatococcus_asaccharovorans,M1,I,False,environment,C/N,II,0.2476,0.4124,0.6004,12,False
Gammaproteobacteria,M2,II,False,environment,C/N,II,0.2471,0.6039,0.4091,13,False
Flavitalea,M1,I,False,environment,C/N,II,0.2464,0.4178,0.5897,14,False
Ca_Competibacter,M3,II,True,environment,C/N,II,0.2389,0.823,0.2903,15,False
Parcubacteria,M3,II,False,environment,C/N,II,0.2333,0.8702,0.2682,16,False
Gemmobacter,M1,I,True,environment,C/N,II,0.2316,0.3911,0.5922,17,False
Niveibacterium,M1,I,False,environment,C/N,II,0.2306,0.4245,0.5432,18,False
Cephaloticoccus,M3,III,False,environment,C/N,II,0.2252,0.9997,0.2253,19,True
Pseudofulvimonas,M2,II,False,environment,C/N,II,0.2233,0.5129,0.4353,20,False
Pannonibacter,M1,II,False,environment,C/N,II,0.2221,0.3865,0.5747,21,False
Shinella,M2,II,False,environment,C/N,II,0.2192,0.4591,0.4774,22,False
Bosea,M2,II,False,environment,C/N,II,0.218,0.4543,0.4798,23,False
Aquimonas,M3,III,False,environment,C/N,II,0.2175,0.937,0.2322,24,False
Runella,M2,III,False,environment,C/N,II,0.2119,0.6682,0.3171,25,False
Pseudoxanthomonas,M2,I,True,environment,C/N,II,0.2118,0.4648,0.4557,26,False
Ca_Bealeia,M2,II,False,environment,C/N,II,0.2092,0.5614,0.3727,27,False
Xanthobacteraceae,M1,I,False,environment,C/N,II,0.2022,0.3483,0.5804,28,False
Flavobacterium,M1,I,False,environment,C/N,II,0.2014,0.3221,0.6251,29,False
Aminobacter,M1,I,False,environment,C/N,II,0.2012,0.3371,0.5969,30,False
Thauera,M1,I,True,environment,C/N,II,0.2005,0.3176,0.6314,31,False
Desulfuromonadia,M3,II,False,environment,C/N,II,0.1977,0.8034,0.246,32,False
Inhella,M1,I,False,environment,C/N,II,0.1959,0.3287,0.5959,33,False
Leptonema,M3,II,False,environment,C/N,II,0.1906,0.9269,0.2056,34,False
Cloacibacterium,M1,I,True,environment,C/N,II,0.1895,0.3163,0.5992,35,False
Ca_Flexifilum,M3,III,False,environment,C/N,II,0.1833,0.9716,0.1887,36,True
Niabella,M1,I,False,environment,C/N,II,0.1829,0.3183,0.5746,37,False
Phycisphaeraceae,M2,I,False,environment,C/N,II,0.1779,0.5609,0.3171,38,False
Kapabacteriales,M1,I,False,environment,C/N,II,0.1738,0.2937,0.5918,39,False
Sphingopyxis,M1,I,False,environment,C/N,II,0.1718,0.3133,0.5484,40,False
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,M1,I,False,environment,C/N,II,0.1696,0.2948,0.5752,41,False
Fusibacter,M2,II,False,environment,C/N,II,0.1683,0.6584,0.2556,42,False
Zoogloea,M1,I,True,environment,C/N,II,0.1676,0.302,0.5552,43,False
Lentimicrobium,M2,I,False,environment,C/N,II,0.1634,0.3529,0.463,44,False
Blastopirellula,M3,III,False,environment,C/N,II,0.1633,0.9803,0.1666,46,True
Sutterellaceae,M1,I,False,environment,C/N,II,0.1633,0.2743,0.5954,45,False
Sulfuritalea,M5,III,False,environment,C/N,II,0.1604,0.8723,0.1839,47,True
Stenotrophomonas,M1,I,False,environment,C/N,II,0.1574,0.2734,0.5758,48,False
Puniceicoccaceae,M2,II,False,environment,C/N,II,0.1542,0.484,0.3187,49,False
Elusimicrobia,M3,III,False,environment,C/N,II,0.1501,0.9971,0.1505,50,True
Sediminibacterium,M1,I,True,environment,C/N,II,0.1477,0.2607,0.5666,51,False
Ignavibacterium,M5,III,False,environment,C/N,II,0.1443,0.8158,0.1769,52,True
Sandaracinaceae,M3,III,False,environment,C/N,II,0.129,0.9992,0.1291,53,True
Bdellovibrio,M3,II,False,environment,C/N,II,0.1251,0.7993,0.1565,54,False
Pedomicrobium,M5,IV,False,environment,C/N,II,0.1227,0.6804,0.1804,55,False
Rhodanobacteraceae,M5,III,False,environment,C/N,II,0.1191,0.6052,0.1968,56,False
Thermomonas,M3,III,False,environment,C/N,II,0.1173,0.993,0.1181,57,True
Brevundimonas,M2,I,False,environment,C/N,II,0.1138,0.3111,0.366,58,False
Bacteria,M2,I,False,environment,C/N,II,0.1131,0.3513,0.3219,59,False
Chryseobacterium,M2,I,False,environment,C/N,II,0.112,0.259,0.4322,60,False
Oligoflexia,M3,II,False,environment,C/N,II,0.1036,0.9815,0.1055,61,True
Dokdonella,M3,IV,True,environment,C/N,II,0.103,0.9501,0.1084,62,False
Vicingus,M5,III,False,environment,C/N,II,0.0937,0.6303,0.1486,63,False
Hydrogenedensaceae,M5,IV,False,environment,C/N,II,0.0919,0.9158,0.1003,64,True
Hydrogenophaga,M3,III,True,environment,C/N,II,0.0887,0.8426,0.1053,65,False
Anaerolinea,M5,IV,False,environment,C/N,II,0.0801,0.2853,0.2809,66,False
Ca_Nomurabacteria,M5,III,False,environment,C/N,II,0.0725,0.7694,0.0943,67,True
Kiritimatiellae,M5,III,False,environment,C/N,II,0.0704,0.5141,0.1369,68,False
Turneriella,M5,IV,False,environment,C/N,II,0.0626,0.7289,0.0858,69,True
Caldilineaceae,M5,II,False,environment,C/N,II,0.0512,0.5587,0.0917,70,False
Spirochaetaceae,M5,III,False,environment,C/N,II,0.0486,0.5764,0.0844,71,False
Denitromonas,M3,I,False,environment,C/N,II,0.0481,0.3505,0.1373,72,False
Ca_Parvibacillus,M5,IV,False,environment,C/N,II,0.0465,0.2012,0.2312,73,False
Lentimicrobiaceae,M5,IV,False,environment,C/N,II,0.045,0.2595,0.1733,74,False
Ca_Epiflobacter,M5,III,False,environment,C/N,II,0.042,0.3892,0.1078,75,False
Flavobacteriales,M5,IV,False,environment,C/N,II,0.0419,0.1787,0.2346,76,False
Ca_Magasanikbacteria,M4,III,False,environment,C/N,II,0.0367,0.6922,0.053,77,False
Fungi,M5,III,False,environment,C/N,II,0.0347,0.3186,0.1089,78,False
Sericytochromatia,M4,III,False,environment,C/N,II,0.0338,0.8882,0.0381,79,True
Ca_Methanofastidiosum,M4,III,False,environment,C/N,II,0.0337,0.8198,0.0411,80,True
Williamwhitmaniaceae,M5,III,False,environment,C/N,II,0.0327,0.3484,0.0939,81,False
Acidovorax,M5,III,False,environment,C/N,II,0.0323,0.3432,0.0941,82,False
Methanothrix,M4,III,False,environment,C/N,II,0.0308,0.496,0.062,83,False
Longilinea,M5,IV,False,environment,C/N,II,0.0303,0.1712,0.1769,84,False
Patescibacteria,M5,III,False,environment,C/N,II,0.0301,0.1974,0.1524,85,False
Amaricoccus,M4,III,False,environment,C/N,II,0.0295,0.5704,0.0517,86,False
Neochlamydia,M4,III,False,environment,C/N,II,0.0293,0.9402,0.0312,87,True
Caldisericales,M4,III,False,environment,C/N,II,0.0281,0.6637,0.0423,88,False
Luteimonas,M3,I,False,environment,C/N,II,0.0251,0.1476,0.1702,89,False
Prolixibacteraceae,M5,III,False,environment,C/N,II,0.0237,0.2654,0.0892,90,False
Smithella,M4,III,False,environment,C/N,II,0.0231,0.7261,0.0319,91,True
Bradymonadales,M5,III,False,environment,C/N,II,0.0222,0.1802,0.1233,92,False
Pseudomonas,M4,III,False,environment,C/N,II,0.0193,0.7609,0.0254,93,True
Azonexus,M5,III,False,environment,C/N,II,0.0185,0.0841,0.2199,94,False
Ochrobactrum,M4,III,False,environment,C/N,II,0.0169,0.3348,0.0505,95,False
Melioribacteraceae,M5,IV,False,environment,C/N,II,0.0162,0.1439,0.1124,96,False
Planococcus,M4,II,False,environment,C/N,II,0.011,0.2474,0.0446,97,False
Aeromonas,M4,III,True,environment,C/N,II,0.0108,0.147,0.0736,98,False
Dechlorobacter,M4,I,False,environment,C/N,II,0.0104,0.2606,0.0398,99,False
Lysobacter,M7,IV,True,environment,C/N,II,0.0082,0.0238,0.3466,100,False
Acidaminobacter,M4,III,False,environment,C/N,II,0.0078,0.9333,0.0083,101,True
Ca_Gottesmanbacteria,M5,IV,False,environment,C/N,II,0.0066,0.034,0.1943,102,False
Christensenellaceae,M5,III,False,environment,C/N,II,0.0055,0.0588,0.0935,103,False
Chitinophagales,M5,III,False,environment,C/N,II,0.0034,0.0264,0.1272,104,False
Kryptoniales,M5,III,False,environment,C/N,II,0.0009,0.0083,0.1121,105,False
Beggiatoa,M4,III,False,environment,C/N,II,0.0003,0.005,0.0535,106,False
Beijerinckiaceae,M4,II,False,environment,C/N,II,-0.004,-0.2644,0.015,107,False
Sphingobacteriales,M7,IV,False,environment,C/N,II,-0.0042,-0.0146,0.2889,108,False
Clostridiaceae,M5,IV,False,environment,C/N,II,-0.005,-0.0276,0.1815,109,False
Ca_Falkowbacteria,M7,III,False,environment,C/N,II,-0.0065,-0.0215,0.3016,110,False
Sporomusaceae,M5,III,False,environment,C/N,II,-0.0081,-0.0875,0.0921,111,False
Rheinheimera,M4,III,False,environment,C/N,II,-0.0089,-0.1664,0.0537,112,False
Ca_Pacebacteria,M7,IV,False,environment,C/N,II,-0.012,-0.0372,0.3209,113,False
Ignavibacteria,M7,IV,True,environment,C/N,II,-0.0122,-0.0271,0.4495,114,False
Leptolinea,M7,IV,False,environment,C/N,II,-0.0127,-0.0442,0.2882,115,False
Prosthecobacter,M7,IV,False,environment,C/N,II,-0.0248,-0.0888,0.279,116,False
Ignavibacteriales,M7,IV,False,environment,C/N,II,-0.0299,-0.1184,0.2523,117,False
Rhodobacter,M6,III,False,environment,C/N,II,-0.034,-0.2118,0.1604,118,False
Fimbriimonadaceae,M7,IV,False,environment,C/N,II,-0.0395,-0.1532,0.258,119,False
Hoeflea,M6,IV,False,environment,C/N,II,-0.0477,-0.2237,0.2131,120,False
Bacillales,M5,III,False,environment,C/N,II,-0.0487,-0.4566,0.1067,121,False
Pirellula,M4,V,False,environment,C/N,II,-0.0614,-0.9976,0.0616,122,False
Saprospiraceae,M7,IV,False,environment,C/N,II,-0.0631,-0.1566,0.403,123,False
Flexifilaceae,M7,IV,False,environment,C/N,II,-0.0672,-0.1611,0.4174,124,False
Chlorobium,M6,IV,False,environment,C/N,II,-0.0763,-0.4219,0.181,125,False
Solirubrobacterales,M6,IV,False,environment,C/N,II,-0.0764,-0.3413,0.2237,126,False
Leifsonia,M6,V,False,environment,C/N,II,-0.0823,-0.7549,0.109,127,False
Holophagaceae,M2,I,False,environment,C/N,II,-0.0862,-0.2941,0.2931,128,False
